
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
121      0.00000192151306  3.31e-07      5.81163082093999  1.00e+00     -0.00000383294769 -6.60e-07      5.81162890950537  1.00e+00
122      0.00000117393266  2.02e-07      5.81163007731607  1.00e+00     -0.00000234151652 -4.03e-07      5.81162890973222  1.00e+00
123      0.00000051817701  8.92e-08      5.81162942560157  1.00e+00     -0.00000103379075 -1.78e-07      5.81162890998783  1.00e+00
124      0.00000028540627  4.91e-08      5.81162919397254  1.00e+00     -0.00000056932538 -9.80e-08      5.81162891005343  1.00e+00
125      0.00000008069101  1.39e-08      5.81162899046670  1.00e+00     -0.00000016101693 -2.77e-08      5.81162891014077  1.00e+00
126      0.00000028540841  4.91e-08      5.81162919397279  1.00e+00     -0.00000056932777 -9.80e-08      5.81162891005343  1.00e+00
127      0.00000051818796  8.92e-08      5.81162942560657  1.00e+00     -0.00000103380671 -1.78e-07      5.81162890998783  1.00e+00
128      0.00000117393207  2.02e-07      5.81163007732067  1.00e+00     -0.00000234152052 -4.03e-07      5.81162890973222  1.00e+00
129      0.00000192154963  3.31e-07      5.81163082095526  1.00e+00     -0.00000383299954 -6.60e-07      5.81162890950535  1.00e+00
130      0.00000355470233  6.12e-07      5.81163244321166  1.00e+00     -0.00000708913856 -1.22e-06      5.81162890877543  1.00e+00
131      0.00000542282981  9.33e-07      5.81163430031707  1.00e+00     -0.00001081499294 -1.86e-06      5.81162890815394  1.00e+00
132      0.00000892637165  1.54e-06      5.81163777830235  1.00e+00     -0.00001779841802 -3.06e-06      5.81162890625598  1.00e+00
133      0.00001295833880  2.23e-06      5.81164178373078  1.00e+00     -0.00002583733666 -4.45e-06      5.81162890473293  1.00e+00
134      0.00001993897520  3.43e-06      5.81164870686303  1.00e+00     -0.00003974604069 -6.84e-06      5.81162889979754  1.00e+00
135      0.00002797055228  4.81e-06      5.81165667784804  1.00e+00     -0.00005575221273 -9.59e-06      5.81162889618759  1.00e+00
136      0.00003282073697  5.65e-06      5.81166150931473  1.00e+00     -0.00006544323094 -1.13e-05      5.81162888682076  1.00e+00
137      0.00004200468838  7.23e-06      5.81167056719661  1.00e+00     -0.00008369228913 -1.44e-05      5.81162887959585  1.00e+00
138      0.00102411098056  1.76e-04      5.81261447265336  1.00e+00     -0.00201079853805 -3.46e-04      5.81162778509588  1.00e+00
139      0.00214879465384  3.70e-04      5.81367757363062  1.00e+00     -0.00419956818387 -7.23e-04      5.81162680010058  1.00e+00
140      0.07264153332380  1.25e-02      5.87986871430184  1.01e+00     -0.14101140789730 -2.43e-02      5.81149883972834  1.00e+00
141      0.15783577357159  2.72e-02      5.95686982779146  1.03e+00     -0.30331963741116 -5.22e-02      5.81138596395188  1.00e+00
142      2.06587555952081  3.56e-01      7.74516377646838  1.33e+00     -4.00490964899667 -6.90e-01      5.80612968699252  1.00e+00
143      4.21373397085623  7.26e-01      9.56939501070233  1.65e+00     -7.98085756087457 -1.38e+00      5.80227142068399  1.00e+00
144     12.36281056454809  2.15e+00     17.46289489754547  3.04e+00    -24.07307992944930 -4.18e+00      5.75262553264426  1.00e+00
145     20.91142528344513  3.65e+00     23.40987723320480  4.09e+00    -38.59976724969476 -6.75e+00      5.72153526695518  1.00e+00
146     16.17281096871836  2.85e+00     18.83363769594236  3.32e+00    -29.34159439960979 -5.18e+00      5.66485426505093  1.00e+00
147      9.62695352350840  1.71e+00     13.08652532721416  2.33e+00    -17.09427238548888 -3.04e+00      5.61920646523368  1.00e+00
148      3.04741769962485  5.43e-01      7.07870004507900  1.26e+00     -4.51308704559630 -8.04e-01      5.61303069910754  1.00e+00
149     -4.44318615559107 -7.91e-01      1.24978710722672  2.23e-01      8.80833411100757  1.57e+00      5.61493506264323  1.00e+00
150     -3.75753578849664 -6.69e-01      1.26555227850620  2.25e-01      8.10724662189949  1.44e+00      5.61526311190905  1.00e+00
151      2.47143323893368  4.40e-01      3.68582256293826  6.56e-01     -0.54236332493806 -9.66e-02      5.61489247693389  1.00e+00
152      2.37483683244688  4.23e-01      2.91462812597038  5.19e-01      0.32561767559817  5.80e-02      5.61508263401543  1.00e+00
153      6.12252347234406  1.09e+00      1.54814661007625  2.76e-01     -2.05559518567655 -3.66e-01      5.61507489674376  1.00e+00
154      6.11073230452403  1.09e+00      1.49756084712335  2.67e-01     -1.99320400653316 -3.55e-01      5.61508914511422  1.00e+00
155      5.65436842031949  1.01e+00      0.02968995015175  5.29e-03     -0.06896256853855 -1.23e-02      5.61509580193269  1.00e+00
156      5.63973567915483  1.00e+00      0.01738518083950  3.10e-03     -0.04202511384897 -7.48e-03      5.61509574614536  1.00e+00
157      5.65436843610680  1.01e+00      0.02968997141493  5.29e-03     -0.06896260558907 -1.23e-02      5.61509580193267  1.00e+00
158      6.11073404830694  1.09e+00      1.49755983501720  2.67e-01     -1.99320473820998 -3.55e-01      5.61508914511416  1.00e+00
159      6.12252342294479  1.09e+00      1.54814562095986  2.76e-01     -2.05559414716062 -3.66e-01      5.61507489674402  1.00e+00
160      2.37482623937493  4.23e-01      2.91462597786494  5.19e-01      0.32563041677513  5.80e-02      5.61508263401500  1.00e+00
